disarm_id_incident,name_incident,objecttype,year_started,attributions_seen,found_in_country,when_added,technique_id,technique_name,tactic_id,index,disarm_id,name,phase_id,rank,summary
I00002,#VaccinateUS,campaign,2014,Russia,World,24/02/19,T0018,Purchase Targeted Advertisements,TA05,2,TA05,Microtarget,P02,8,Target very specific populations of people
I00002,#VaccinateUS,campaign,2014,Russia,World,24/02/19,T0017,Conduct Fundraising,TA10,7,TA10,Drive Offline Activity,P03,14,"Move incident/campaign from online to offline. Encouraging users to move from the platform on which they initially viewed operation content and engage in the physical information space or offline world. This may include operation-aligned rallies or protests, radio, newspaper, or billboards. An influence operation may drive to physical forums to diversify its information channels and facilitate spaces where the target audience can engage with both operation content and like-minded individuals offline."
I00002,#VaccinateUS,campaign,2014,Russia,World,24/02/19,T0019,Generate Information Pollution,TA06,3,TA06,Develop Content,P02,5,"Create or acquire text, images, and other content"
I00002,#VaccinateUS,campaign,2014,Russia,World,24/02/19,T0046,Use Search Engine Optimisation,TA08,5,TA08,Conduct Pump Priming,P03,10,"Release content on a targetted small scale, prior to general release, including releasing seed. Used for preparation before broader release, and as message honing. Used for preparation before broader release, and as message honing."
I00005,Brexit vote,campaign,2016,Russia,UK,24/02/19,T0018,Purchase Targeted Advertisements,TA05,2,TA05,Microtarget,P02,8,Target very specific populations of people
I00005,Brexit vote,campaign,2016,Russia,UK,24/02/19,T0019,Generate Information Pollution,TA06,3,TA06,Develop Content,P02,5,"Create or acquire text, images, and other content"
I00005,Brexit vote,campaign,2016,Russia,UK,24/02/19,T0046,Use Search Engine Optimisation,TA08,5,TA08,Conduct Pump Priming,P03,10,"Release content on a targetted small scale, prior to general release, including releasing seed. Used for preparation before broader release, and as message honing. Used for preparation before broader release, and as message honing."
I00005,Brexit vote,campaign,2016,Russia,UK,24/02/19,T0007,Create Inauthentic Social Media Pages and Groups,TA15,12,TA15,Establish Social Assets,P02,6,"Establishing information assets generates messaging tools, including social media accounts, operation personnel, and organisations, including directly and indirectly managed assets. For assets under their direct control, the operation can add, change, or remove these assets at will. Establishing information assets allows an influence operation to promote messaging directly to the target audience without navigating through external entities. Many online influence operations create or compromise social media accounts as a primary vector of information dissemination."
I00005,Brexit vote,campaign,2016,Russia,UK,24/02/19,T0057,Organise Events,TA10,7,TA10,Drive Offline Activity,P03,14,"Move incident/campaign from online to offline. Encouraging users to move from the platform on which they initially viewed operation content and engage in the physical information space or offline world. This may include operation-aligned rallies or protests, radio, newspaper, or billboards. An influence operation may drive to physical forums to diversify its information channels and facilitate spaces where the target audience can engage with both operation content and like-minded individuals offline."
I00005,Brexit vote,campaign,2016,Russia,UK,24/02/19,T0029,Online Polls,TA07,4,TA07,Select Channels and Affordances,P02,9,"Selecting platforms and affordances assesses which online or offline platforms and their associated affordances maximise an influence operation’s ability to reach its target audience. To select the most appropriate platform(s), an operation may assess the technological affordances including platform algorithms, terms of service, permitted content types, or other attributes that determine platform usability and accessibility. Selecting platforms includes both choosing platforms on which the operation will publish its own content and platforms on which the operation will attempt to restrict adversarial content."
